pickup_date,taxi_type,payment_type_name,trip_count,total_passengers,total_distance,total_fare_amount,total_amount,avg_trip_distance,avg_fare_amount
2022-01-01,yellow,cash,16174,25997,59051.19000000005,227239.36000000002,287141.2300000007,3.6509948064795386,14.049669840484729
2022-01-01,yellow,credit_card,44197,69011,171464.95999999982,655340.87,982318.9400000045,3.87956105618028,14.827722922370297
2022-01-01,yellow,dispute,117,159,378.6,1342.82,1762.9200000000005,3.235897435897436,11.477094017094016
2022-01-01,yellow,flex_fare,2123,,143317.54,42827.92999999997,58786.649999999994,67.50708431464909,20.17330664154497
2022-01-01,yellow,no_charge,248,326,921.7999999999998,3909.2300000000005,4768.729999999999,3.716935483870967,15.76302419354839
2022-01-02,yellow,cash,14333,22076,55343.640000000014,208550.03000000003,261649.63999999827,3.8612739831158875,14.55034047303426
2022-01-02,yellow,credit_card,42226,62983,193285.34999999986,703375.8099999999,1036578.7600000103,4.577401364088473,16.657410363283283
2022-01-02,yellow,dispute,95,118,302.70000000000005,1538.5,1843.55,3.1863157894736847,16.194736842105264
2022-01-02,yellow,flex_fare,1048,,112047.51,21838.389999999996,29767.480000000003,106.91556297709923,20.83815839694656
2022-01-02,yellow,no_charge,222,267,763.6,2939.23,3721.8800000000006,3.4396396396396396,13.239774774774775
2022-01-03,yellow,cash,17673,25897,63257.11000000004,239839.78000000003,307932.7100000002,3.579307983930291,13.570971538505066
2022-01-03,yellow,credit_card,52227,72739,204321.09999999998,767094.08,1164005.8100000077,3.912173779845673,14.687691806919792
2022-01-03,yellow,dispute,100,114,342.2000000000001,1325.51,1654.4600000000003,3.422000000000001,13.2551
2022-01-03,yellow,flex_fare,1449,,287273.4599999999,29602.009999999987,39192.35999999999,198.2563561076604,20.429268461007585
2022-01-03,yellow,no_charge,337,342,934.9000000000001,3760.6499999999996,4860.3499999999985,2.774183976261128,11.15919881305638
2022-01-04,yellow,cash,17637,25087,60988.590000000004,234832.37000000002,301874.24999999907,3.4579911549583264,13.314757044848898
2022-01-04,yellow,credit_card,54393,74763,188292.58000000005,736621.3699999996,1130498.4500000107,3.4617061018881112,13.54257661831485
2022-01-04,yellow,dispute,108,128,420.2,1554.51,1931.4600000000003,3.890740740740741,14.393611111111111
2022-01-04,yellow,flex_fare,1509,,6623.789999999999,30358.55999999998,40134.62,4.389522862823061,20.118330019880702
2022-01-04,yellow,no_charge,311,331,932.0000000000002,3905.04,5003.279999999999,2.9967845659163994,12.556398713826367
2022-01-05,yellow,cash,17095,24144,58797.66000000005,227738.02000000002,292823.3700000066,3.43946534074291,13.321908160280785
2022-01-05,yellow,credit_card,54932,74864,179989.25999999995,715525.5699999998,1105336.3299999826,3.276583048132235,13.025660270880358
2022-01-05,yellow,dispute,88,88,246.7,1022.01,1330.2600000000002,2.8034090909090907,11.61375
2022-01-05,yellow,flex_fare,1653,,200009.16999999984,32698.24999999996,42823.72,120.99768300060487,19.781155474894106
2022-01-05,yellow,no_charge,266,280,822.6000000000001,3432.5200000000004,4390.459999999998,3.0924812030075195,12.904210526315792
2022-01-06,yellow,cash,17529,25009,56093.85999999992,222868.97000000003,289065.3400000067,3.200060471219118,12.714300302356097
2022-01-06,yellow,credit_card,59704,81458,180773.4600000002,741854.0399999996,1156766.409999976,3.0278282862119825,12.425533297601493
2022-01-06,yellow,dispute,121,132,366.6,1585.06,1998.8600000000006,3.0297520661157025,13.099669421487603
2022-01-06,yellow,flex_fare,1651,,163915.81,30370.07999999997,40929.310000000005,99.28274379164142,18.39496062992124
2022-01-06,yellow,no_charge,279,297,676.1999999999999,3278.3599999999997,4175.009999999998,2.4236559139784943,11.750394265232973
2022-01-07,yellow,cash,14763,20995,47167.82000000006,183470.24,239703.81000000206,3.1950023707918485,12.427707105601842
2022-01-07,yellow,credit_card,54001,75917,159518.1599999999,644393.2299999997,1018384.7899999857,2.9539852965685798,11.932986981722555
2022-01-07,yellow,dispute,111,122,366.40000000000003,402401.32,402766.31999999995,3.3009009009009014,3625.237117117117
2022-01-07,yellow,flex_fare,1956,,7864.540000000002,37258.40999999994,50128.19,4.020725971370144,19.048266871165612
2022-01-07,yellow,no_charge,257,286,685.2999999999998,2980.51,3904.309999999998,2.666536964980544,11.597315175097277
2022-01-08,yellow,cash,15804,23515,50151.109999999986,198666.16,254278.61999999816,3.173317514553277,12.5706251581878
2022-01-08,yellow,credit_card,64573,95060,202596.3800000001,808317.0599999997,1239014.7899999989,3.1374782029640884,12.517879918851527
2022-01-08,yellow,dispute,115,139,270.70000000000005,1247.0,1616.6000000000004,2.3539130434782614,10.843478260869565
2022-01-08,yellow,flex_fare,1800,,6820.870000000001,31116.519999999975,43454.11000000001,3.7893722222222226,17.28695555555554
2022-01-08,yellow,no_charge,279,327,823.2999999999998,3195.5200000000004,4107.67,2.9508960573476695,11.453476702508961
2022-01-09,yellow,cash,12178,17683,43882.7,165181.33000000002,208992.32999999681,3.603440630645426,13.563912793562162
2022-01-09,yellow,credit_card,49643,72301,183117.64999999982,686419.2999999998,1037580.4500000118,3.6886902483733826,13.82711157665733
2022-01-09,yellow,dispute,100,108,241.59999999999997,1227.05,1540.4000000000003,2.4159999999999995,12.2705
2022-01-09,yellow,flex_fare,1352,,145861.23000000013,23946.759999999995,33517.950000000004,107.88552514792909,17.712100591715974
2022-01-09,yellow,no_charge,211,241,689.4000000000001,2611.51,3370.3600000000006,3.2672985781990525,12.376824644549764
2022-01-10,yellow,cash,15983,22156,50467.910000000025,202478.39,261598.1099999978,3.1575993242820513,12.668359506976163
2022-01-10,yellow,credit_card,55102,73550,169445.87999999995,697035.3799999997,1080258.3500000096,3.0751312112083036,12.649910711044965
2022-01-10,yellow,dispute,108,109,348.80000000000007,1451.01,1821.0100000000004,3.2296296296296303,13.435277777777777
2022-01-10,yellow,flex_fare,1677,,129125.61000000002,31377.219999999983,41648.67000000001,76.99797853309482,18.710327966607025
2022-01-10,yellow,no_charge,267,263,805.0,3949.55,4928.42,3.0149812734082397,14.792322097378278
2022-01-11,yellow,cash,15666,21503,47336.77000000001,193367.41999999998,251714.65999999657,3.0216245372143504,12.343126516021957
2022-01-11,yellow,credit_card,58983,78546,163752.37,696230.4699999995,1093518.5300000124,2.776263838733194,11.80391756946916
2022-01-11,yellow,dispute,126,137,408.1,1597.51,2025.3100000000004,3.238888888888889,12.678650793650794
2022-01-11,yellow,flex_fare,1961,,417231.84,35205.29999999997,47025.79,212.76483426823052,17.952728199897994
2022-01-11,yellow,no_charge,274,299,765.3,3302.04,4242.990000000001,2.793065693430657,12.05124087591241
2022-01-12,yellow,cash,16124,22252,46971.36999999992,195770.93999999997,255809.80999999805,2.9131338377573757,12.14158645497395
2022-01-12,yellow,credit_card,61373,81934,173352.30000000013,740303.3399999995,1158702.1200000008,2.8245694360712386,12.062361950694923
2022-01-12,yellow,dispute,104,116,320.90000000000003,1252.0,1673.5000000000007,3.0855769230769234,12.038461538461538
2022-01-12,yellow,flex_fare,1854,,7665.909999999997,35842.939999999966,46834.049999999996,4.134795037756201,19.332761596547986
2022-01-12,yellow,no_charge,271,245,681.9,3473.3,4457.95,2.5162361623616234,12.81660516605166
2022-01-13,yellow,cash,16970,23666,50392.890000000036,211090.02000000002,274277.00000000093,2.969527990571599,12.43901119622864
2022-01-13,yellow,credit_card,64954,87515,189970.72999999963,802442.6399999997,1252084.6599999901,2.9246964005296,12.354014225451854
2022-01-13,yellow,dispute,109,120,275.5,1055.5,1462.95,2.5275229357798166,9.68348623853211
2022-01-13,yellow,flex_fare,1990,,7846.08,36533.269999999975,48721.14999999999,3.942753768844221,18.35842713567838
2022-01-13,yellow,no_charge,301,298,808.8,3601.0,4660.949999999999,2.6870431893687705,11.96345514950166
2022-01-14,yellow,cash,18171,25597,55180.15000000003,229661.13000000003,299130.9000000024,3.036715095481813,12.638882284959553
2022-01-14,yellow,credit_card,72109,100230,215729.23999999993,902130.8599999998,1413019.8399999745,2.9917103274209866,12.510655535370061
2022-01-14,yellow,dispute,109,120,253.90000000000003,1085.0,1480.6000000000001,2.329357798165138,9.954128440366972
2022-01-14,yellow,flex_fare,2458,,391134.00000000006,44981.79999999999,60105.66000000001,159.12693246541906,18.30016273393002
2022-01-14,yellow,no_charge,304,313,678.2,3174.54,4246.389999999999,2.230921052631579,10.442565789473685
2022-01-15,yellow,cash,16133,23611,49472.64999999997,199692.93,256791.1899999957,3.0665499287175337,12.377916692493645
2022-01-15,yellow,credit_card,68914,100448,203853.58999999997,834477.1699999998,1293848.5599999938,2.9580867457991116,12.108964361377947
2022-01-15,yellow,dispute,102,116,256.6,1048.31,1359.66,2.5156862745098043,10.277549019607843
2022-01-15,yellow,flex_fare,2618,,527917.0799999998,39969.59999999998,56981.39000000001,201.648999236058,15.267226890756294
2022-01-15,yellow,no_charge,286,302,601.9000000000001,2805.0200000000004,3752.6700000000005,2.104545454545455,9.807762237762239
2022-01-16,yellow,cash,13553,19907,46921.820000000014,177579.08,225988.96999999485,3.462098428392239,13.102566221500775
